dataset,dimension,bucket,count,mae,rmse,p75,p95
1/8,gap_size,1-2,6461,23.68329451827956,34.31226051965,33.97252372187592,72.25070604008133
1/8,gap_size,3-4,14552,44.98772258219092,60.69391245335548,62.814815208444806,121.1543804855808
1/8,gap_size,5-7,1071534,82.52476661891365,110.0438023150151,114.30638012421835,221.55445968655795
1/8,turn_angle,invalid,257895,72.7811920366153,102.84785655513491,100.22652620908323,205.48282383378572
1/8,turn_angle,sharp(>90),18633,123.1041232582519,160.77788956756348,170.0880610014475,319.746063048732
1/8,turn_angle,straight(<30),732551,81.13682512102504,106.95162680715181,112.56829633986573,216.76181596482837
1/8,turn_angle,turn(30-90),83468,104.65334440676354,131.71720920021815,143.0239165571729,255.98363591813998
1/8,position,end(70-100%),322956,77.70459146101814,105.12705438931806,107.32902094428047,212.9973070929291
1/8,position,middle(30-70%),440479,81.9159162422735,110.22393507419976,113.3090116096848,221.77916573127928
1/8,position,start(0-30%),329112,85.25476879835648,111.836977033314,118.47897946937039,224.9013021788726
1/8,traj_length,101-150,222157,76.13078597678862,103.02889273798583,106.04606406848195,209.16000923396612
1/8,traj_length,151-240,45467,70.2284047648722,96.50238176069459,98.35661932955566,199.7060380227979
1/8,traj_length,50-100,824923,83.80140992485335,111.49916280139496,115.80189364044386,224.20099932592169
1/8,speed_var,high,371466,105.76511705865046,135.3231521999498,146.63247393000168,262.1431864872162
1/8,speed_var,low,360541,64.18158563531591,87.82814620990584,88.98085171348566,177.38161163834036
1/8,speed_var,mid,360540,74.35384240106114,97.87146943932346,102.92399525189393,197.2285637329891
1/16,gap_size,1-4,11945,38.65083630349034,54.24871775194342,54.407529327533034,109.43389874098416
1/16,gap_size,5-8,27162,74.01632847916869,99.43241350630018,101.60095117196713,197.51288087046214
1/16,gap_size,9-15,1131125,145.30165392050412,195.01316350704036,200.0096615503532,397.59351047552974
1/16,turn_angle,invalid,276214,122.35613797947062,167.1074052981098,169.54208330458434,340.6864497132087
1/16,turn_angle,sharp(>90),19817,199.6540716899534,267.54598456314966,275.71967087574797,560.2105412672868
1/16,turn_angle,straight(<30),784890,143.07507624564812,191.727304947779,197.3211240067196,392.0115155245218
1/16,turn_angle,turn(30-90),89311,187.82937617581845,244.44697236022716,256.41218237665703,492.40742142155887
1/16,position,end(70-100%),346317,129.5898230902534,178.62087647692763,177.66288451373896,369.4646788352263
1/16,position,middle(30-70%),472233,144.5245791817574,193.959974265302,199.93276079702764,394.9183058082215
1/16,position,start(0-30%),351682,152.68911880829975,203.0914026946209,209.43509537227493,412.89733088716184
1/16,traj_length,101-150,237950,132.64948899352055,180.2796910986677,184.37651652528461,370.984133304223
1/16,traj_length,151-240,48715,123.96650959448148,170.66317149261678,174.6936514522485,352.1302883814622
1/16,traj_length,50-100,883567,146.25203818581184,196.64853586003653,200.83239103253385,401.6943208986954
1/16,speed_var,high,397879,165.878731430597,218.3022509945289,228.55493130864994,441.0728448092185
1/16,speed_var,low,386177,123.63573774549351,169.02221856525492,170.4076514185628,346.9938709052455
1/16,speed_var,mid,386176,137.45418401560593,185.76747086731893,189.23609203737334,380.0905651724656
